Wall time,Step,Value
1678323364.0046437,90000,1202.9610595703125
1678323541.9178104,250000,1200.728759765625
1678323600.744955,310000,1203.7291259765625
1678323784.9763782,480000,1210.450927734375
1678323807.398954,500000,1209.7796630859375
1678323838.0497687,530000,1208.3397216796875
1678323854.6363702,550000,1207.3221435546875
1678323957.5461266,630000,1208.88623046875
1678323998.5766592,670000,1208.1217041015625
1678324202.2701917,840000,1198.592041015625
1678324223.0951347,870000,1195.525146484375
1678324295.7600799,940000,1198.5849609375
1678324409.2469516,1030000,1195.916259765625
1678324527.9376104,1150000,1195.6085205078125
1678324682.142448,1280000,1197.494140625
1678324802.1749735,1400000,1197.121826171875
1678324823.4653256,1410000,1197.750732421875
1678325165.1974843,1730000,1195.7449951171875
1678325324.4458747,1860000,1194.7464599609375
1678325462.6048589,2000000,1192.4267578125
1678325718.5363228,2220000,1193.58544921875
1678325902.7217922,2400000,1197.11083984375
1678325974.0928397,2450000,1198.8350830078125
1678326003.8141437,2480000,1201.6259765625
1678326096.5823698,2570000,1199.19287109375
1678326108.0955193,2580000,1199.2540283203125
1678326231.1666808,2690000,1202.09033203125
1678326272.7798746,2740000,1203.89794921875
1678326298.6209047,2760000,1206.1109619140625
1678326302.489866,2770000,1206.8558349609375
1678326338.8037796,2810000,1215.54541015625
1678326438.7203054,2890000,1224.3526611328125
1678326512.8824105,2970000,1241.4007568359375
1678326522.7292547,2980000,1241.73046875
1678326584.9275446,3030000,1247.09326171875
1678326691.3061988,3140000,1273.4237060546875
1678326749.9623177,3200000,1295.15185546875
1678326805.116556,3250000,1328.8299560546875
1678326835.8020647,3280000,1339.6278076171875
1678326954.7882009,3400000,1356.347900390625
1678327016.2448504,3460000,1342.1492919921875
1678327068.9980392,3510000,1344.95703125
1678327136.941461,3580000,1356.700439453125
1678327178.7097769,3620000,1360.6868896484375
1678327198.5123768,3640000,1366.0587158203125
1678327389.5320969,3830000,1383.0294189453125
1678327443.1699471,3880000,1376.7369384765625
1678327451.296958,3890000,1386.6341552734375
1678327502.3828704,3940000,1391.7960205078125
1678327551.712442,3990000,1413.6588134765625
1678327572.347787,4010000,1402.9635009765625
1678327656.3041728,4090000,1391.6434326171875
1678327668.499213,4100000,1390.0989990234375
1678327737.133793,4170000,1419.13232421875
1678327776.88629,4210000,1425.72705078125
1678327869.7554119,4300000,1437.42626953125
1678327949.9267974,4380000,1450.301025390625
1678328114.9573076,4540000,1463.367919921875
1678328155.2888126,4580000,1444.6343994140625
1678328218.642096,4640000,1475.801025390625
1678328259.3582277,4680000,1467.7359619140625
1678328279.7392147,4700000,1459.047119140625
1678328703.8873174,5120000,1458.0096435546875
1678328715.5739377,5130000,1462.623779296875
1678328735.7853692,5150000,1464.5789794921875
1678328793.2635653,5210000,1468.91015625
1678328889.4369898,5300000,1463.4366455078125
1678328909.6584692,5320000,1477.072265625
1678328918.757714,5330000,1482.0185546875
1678328951.0830662,5360000,1481.6568603515625
1678329013.5628738,5420000,1469.922607421875
1678329101.5920057,5510000,1488.4974365234375
1678329134.1786873,5540000,1497.29443359375
1678329141.605698,5550000,1498.9927978515625
1678329242.0452754,5650000,1501.4854736328125
1678329411.8302186,5820000,1484.8970947265625
1678329431.8926325,5840000,1499.0743408203125
1678329571.8469932,5980000,1498.6524658203125
1678329622.0834112,6030000,1502.839111328125
1678329642.0556018,6050000,1509.427490234375
1678329673.5012925,6080000,1499.6663818359375
1678329753.5945313,6160000,1494.770263671875
1678329816.548434,6220000,1485.5924072265625
1678329838.0667686,6240000,1495.2337646484375
1678329864.5280955,6270000,1492.7188720703125
1678329924.598356,6330000,1493.7027587890625
1678329972.3230195,6380000,1520.680419921875
1678330075.1340888,6480000,1538.3165283203125
1678330135.4144704,6540000,1532.861572265625
1678330194.4512274,6600000,1549.859375
1678330236.586226,6640000,1563.7630615234375
1678330295.5256102,6700000,1542.9908447265625
1678330315.4828749,6720000,1534.3016357421875
1678330324.5479758,6730000,1536.1680908203125
1678330343.3651183,6750000,1531.5255126953125
1678330363.3534777,6770000,1546.122802734375
1678330375.2890942,6780000,1547.357177734375
1678330427.5208821,6830000,1544.4549560546875
1678330439.7551997,6840000,1556.7952880859375
1678477332.6163957,6930000,1552.2249755859375
1678477400.7150722,6990000,1546.8475341796875
1678477423.5084443,7010000,1554.6702880859375
1678477483.0284586,7060000,1561.9669189453125
1678477539.5512867,7110000,1552.1923828125
1678477565.447965,7130000,1549.5142822265625
1678477707.9006958,7250000,1555.52001953125
1678477791.0218804,7320000,1567.9346923828125
1678477805.1695259,7330000,1570.9248046875
1678477828.0660996,7350000,1575.6846923828125
1678477851.0435278,7370000,1569.825439453125
1678477860.7562912,7380000,1567.9637451171875
1678477884.9067056,7400000,1573.9105224609375
1678478030.6507902,7520000,1563.61962890625
1678478063.6244097,7550000,1570.683837890625
1678478112.2611742,7590000,1556.09130859375
1678478149.5358033,7620000,1553.12255859375
1678478183.8730593,7650000,1562.65380859375
1678478231.1166852,7690000,1547.3804931640625
1678478244.2525568,7700000,1544.319580078125
1678478293.3818784,7740000,1550.97900390625
1678478351.118534,7790000,1561.852783203125
1678478365.9083238,7800000,1562.1761474609375
1678478480.5845048,7900000,1552.6138916015625
1678478531.7181716,7940000,1549.2923583984375
1678478567.655803,7970000,1553.7327880859375
1678478660.8072648,8050000,1521.5943603515625
1678478704.8849626,8090000,1513.07568359375
1678478741.2076786,8120000,1528.6602783203125
1678478754.4446907,8130000,1538.568115234375
1678478763.6879668,8140000,1536.2523193359375
1678478846.7200618,8210000,1530.0126953125
1678478920.1581476,8270000,1534.5091552734375
1678478943.9900331,8290000,1528.037841796875
1678478957.0292096,8300000,1523.2249755859375
1678479010.1470945,8340000,1529.2989501953125
1678479060.3250396,8380000,1545.26318359375
1678479092.591204,8410000,1537.79541015625
1678479106.7936838,8420000,1537.5704345703125
1678479116.5526533,8430000,1534.5662841796875
1678479159.3543792,8470000,1529.5933837890625
1678479256.46958,8560000,1567.1143798828125
1678479298.153682,8600000,1553.919189453125
1678479309.53135,8610000,1558.465087890625
1678479318.0708365,8620000,1561.837646484375
1678479339.6330678,8640000,1562.1715087890625
1678479351.7249403,8650000,1566.1253662109375
1678479413.083065,8710000,1557.4749755859375
1678479460.2491105,8750000,1551.124267578125
1678479469.1368563,8760000,1551.2847900390625
1678479492.334944,8780000,1551.5166015625
1678479516.471828,8800000,1571.444580078125
1678479553.8233216,8830000,1564.4288330078125
1678479563.3062882,8840000,1568.501708984375
1678479578.0491219,8850000,1565.1669921875
1678479585.8803554,8860000,1556.4864501953125
1678479622.7249815,8890000,1561.137451171875
1678479672.3861156,8930000,1567.3353271484375
1678479735.0651505,8980000,1581.0145263671875
1678479745.123776,8990000,1579.9527587890625
1678479759.3366766,9000000,1580.3021240234375
1678479831.9341047,9060000,1595.2354736328125
1678480043.101286,9230000,1573.0220947265625
1678480094.148732,9270000,1569.115966796875
1678480118.0564256,9290000,1563.7227783203125
1678480177.770887,9340000,1578.670654296875
1678480477.0437248,9580000,1617.995361328125
1678480501.6206539,9600000,1624.0694580078125
1678480560.5398903,9650000,1604.1041259765625
1678480585.2312694,9670000,1607.9134521484375
1678480635.38074,9710000,1606.27587890625
1678480661.7300239,9730000,1609.2197265625
1678480757.6791317,9810000,1599.7359619140625
1678480833.0924864,9870000,1605.5350341796875
1678480870.8758426,9910000,1586.8662109375
1678480946.1262696,9980000,1587.8333740234375
1678480967.3966131,10000000,1593.41796875
1678481029.206485,10060000,1597.0361328125
1678481050.707432,10080000,1598.054443359375
1678481083.6054633,10110000,1603.6878662109375
1678481093.9497986,10120000,1603.5828857421875
1678481114.325785,10140000,1610.572998046875
1678481196.2449317,10220000,1601.318115234375
1678481208.1907341,10230000,1598.37890625
1678481236.6839633,10260000,1589.6871337890625
1678481316.02847,10330000,1576.3094482421875
1678481351.5115032,10360000,1572.7847900390625
1678481451.3433414,10450000,1580.1229248046875
1678481495.9301245,10490000,1593.3922119140625
1678481531.3158906,10520000,1591.7158203125
1678481539.4896474,10530000,1588.8162841796875
1678481630.8693542,10620000,1592.107421875
1678481643.444035,10630000,1586.0030517578125
1678481684.659342,10670000,1577.6964111328125
1678481692.936938,10680000,1571.7169189453125
1678481704.6330032,10690000,1579.621826171875
1678481713.2113595,10700000,1585.745849609375
1678481756.4629195,10740000,1614.71240234375
1678481768.9711766,10750000,1614.396240234375
1678481798.4850676,10780000,1604.1126708984375
1678481810.3654935,10790000,1604.67919921875
1678481892.283446,10870000,1600.376220703125
1678481928.8733675,10910000,1597.8592529296875
1678481951.8569427,10930000,1589.1129150390625
1678481971.211262,10950000,1594.6898193359375
1678481982.5014372,10960000,1595.0294189453125
1678482072.4189641,11050000,1614.79248046875
1678482104.2788217,11080000,1598.3841552734375
1678482188.0306234,11160000,1615.30712890625
1678482208.7941074,11180000,1599.9864501953125
1678482249.6398027,11220000,1600.7374267578125
1678482258.0044885,11230000,1602.686279296875
1678482306.9037676,11280000,1606.5736083984375
1678482381.3347461,11350000,1579.2099609375
1678482490.8615425,11460000,1601.17529296875
1678482511.5092566,11480000,1615.03955078125
1678482575.3094919,11540000,1596.0960693359375
1678482608.4931653,11570000,1608.285888671875
1678482625.7974222,11590000,1614.78173828125
1678482664.6420019,11630000,1615.4576416015625
1678482705.967449,11670000,1599.787841796875
1678482725.92835,11690000,1594.5614013671875
1678482780.7101896,11740000,1602.0302734375
1678482788.208143,11750000,1596.5045166015625
1678482800.7023406,11760000,1597.5477294921875
1678482882.3894618,11840000,1612.0484619140625
1678482943.4659138,11900000,1619.50927734375
1678482983.1984253,11940000,1617.6497802734375
1678482994.4056597,11950000,1612.8311767578125
1678483002.7413056,11960000,1610.5885009765625
1678483097.1267276,12050000,1600.2686767578125
1678483144.7033954,12100000,1615.76611328125
1678483289.2320118,12240000,1611.4913330078125
1678483309.9101074,12260000,1609.320556640625
1678483518.7131023,12460000,1617.3216552734375
1678483527.6626668,12470000,1621.2613525390625
1678483567.2517512,12510000,1629.9832763671875
1678483583.054246,12520000,1630.485107421875
1678483590.7165024,12530000,1635.0047607421875
1678483773.3101363,12710000,1622.8260498046875
1678483824.66481,12760000,1604.595703125
1678483897.9939096,12830000,1615.9832763671875
1678483906.048982,12840000,1609.7650146484375
1678483966.297882,12900000,1605.4005126953125
1678483990.5432768,12920000,1599.91162109375
1678484039.747242,12970000,1622.260009765625
1678484059.4881163,12990000,1626.4041748046875
1678484120.3641334,13050000,1645.4100341796875
1678484305.5360994,13230000,1618.4508056640625
1678484327.328002,13250000,1622.8306884765625
1678484347.455627,13270000,1636.6103515625
1678484429.8496559,13350000,1630.75244140625
1678484458.4848404,13380000,1640.6273193359375
1678484539.8689275,13460000,1640.83154296875
1678484572.1089401,13490000,1635.242431640625
1678484602.8510177,13520000,1628.4600830078125
1678484732.6064143,13650000,1630.264404296875
1678484808.0102232,13720000,1646.3111572265625
1678484868.8680565,13780000,1649.029296875
1678484929.132549,13840000,1659.5302734375
1678484937.8579683,13850000,1655.567138671875
1678484999.5936956,13910000,1642.466064453125
1678485103.9456255,14010000,1639.767333984375
1678485152.2589712,14060000,1643.0545654296875
1678485165.0571897,14070000,1642.5126953125
1678485194.3622127,14100000,1650.0694580078125
1678485257.1811247,14160000,1639.4376220703125
1678485277.7387908,14180000,1638.3538818359375
1678485310.3209608,14210000,1634.7901611328125
1678485338.8849704,14240000,1654.613525390625
1678485371.6976871,14270000,1655.3836669921875
1678485380.0874631,14280000,1656.2657470703125
1678485565.5976076,14460000,1635.7933349609375
1678485717.543352,14610000,1631.1221923828125
1678485871.2565835,14760000,1639.0853271484375
1678485904.3259356,14790000,1638.38671875
1678485911.6548786,14800000,1634.7677001953125
1678485932.2992587,14820000,1632.6197509765625
1678485944.6370113,14830000,1637.304443359375
1678486158.2880092,15040000,1632.2481689453125
1678486167.8426034,15050000,1636.0677490234375
1678486219.9925299,15100000,1622.0638427734375
1678486250.703123,15130000,1627.9991455078125
1678486292.4475176,15170000,1640.012451171875
1678486312.0018516,15190000,1629.071533203125
1678486352.6354463,15230000,1636.5369873046875
1678486394.5428963,15270000,1643.0980224609375
1678486434.7167046,15310000,1630.9078369140625
1678486692.5270247,15560000,1616.101318359375
1678486704.0316608,15570000,1612.3646240234375
1678486813.4038715,15680000,1624.0911865234375
1678486898.9976885,15760000,1618.907470703125
1678486905.9577687,15770000,1623.97607421875
1678486938.9345303,15800000,1636.191650390625
1678486959.3217235,15820000,1637.3648681640625
1678486967.8989005,15830000,1647.333251953125
1678487063.4755392,15920000,1645.9432373046875
1678487132.718997,15990000,1644.7119140625
1678487288.0427096,16140000,1618.6553955078125
1678487298.0856152,16150000,1618.3116455078125
1678487327.165352,16180000,1622.2841796875
1678487401.363915,16250000,1624.3651123046875
1678487522.3590746,16370000,1627.747314453125
1678487574.1156127,16420000,1632.62890625
1678487583.6938043,16430000,1637.4134521484375
1678487603.3904488,16450000,1632.1072998046875
1678487677.5923703,16520000,1628.558349609375
1678487747.4315817,16590000,1619.488525390625
1678487760.389686,16600000,1618.8577880859375
1678487848.595644,16690000,1633.0882568359375
1678487893.8143415,16730000,1616.9588623046875
1678487914.1610582,16750000,1626.6263427734375
1678487954.3620718,16790000,1626.9329833984375
1678488044.850387,16880000,1641.90087890625
1678488120.2030623,16950000,1630.979736328125
1678488127.845776,16960000,1622.3118896484375
1678488177.5010448,17010000,1623.82177734375
1678488258.86694,17090000,1614.4722900390625
1678488354.1989846,17180000,1642.46240234375
1678488363.4408655,17190000,1642.12744140625
1678488404.004064,17230000,1647.995849609375
1678488456.031451,17280000,1644.401123046875
1678488484.22674,17310000,1629.0101318359375
1678488507.60864,17330000,1630.06982421875
1678488537.5744956,17360000,1644.0084228515625
1678488569.729428,17390000,1643.327880859375
1678488609.923535,17430000,1640.8515625
1678488691.3257623,17510000,1630.1666259765625
1678488775.167622,17590000,1630.0965576171875
1678488812.1129272,17630000,1628.17138671875
1678488843.9261587,17660000,1626.7930908203125
1678488853.2790227,17670000,1625.1112060546875
1678488916.889884,17730000,1615.34375
1678488929.1698408,17740000,1618.396484375
1678489010.1864998,17820000,1632.0164794921875
1678489051.6572115,17860000,1644.097900390625
1678489060.0485184,17870000,1645.0439453125
1678489072.050755,17880000,1650.3426513671875
1678489092.3169012,17900000,1656.3880615234375
1678489123.9958274,17930000,1651.81689453125
1678489193.0979528,18000000,1635.717041015625
1678489204.7285378,18010000,1642.5660400390625
1678489286.8508973,18090000,1648.1458740234375
1678489295.2143524,18100000,1639.4139404296875
1678489390.5045311,18190000,1653.68505859375
1678489430.649178,18230000,1653.4635009765625
1678489451.9386952,18250000,1649.405029296875
1678489479.4292617,18280000,1654.2255859375
1678489532.686447,18330000,1654.9365234375
1678489543.3072572,18340000,1645.0406494140625
1678489562.9317994,18360000,1653.7943115234375
1678489571.7425067,18370000,1650.1129150390625
1678489583.9793515,18380000,1655.7493896484375
1678489632.1922948,18430000,1653.4591064453125
1678489777.2884753,18570000,1664.03759765625
1678489867.0566833,18660000,1676.092041015625
1678489928.6362312,18720000,1671.7088623046875
1678490004.588062,18790000,1654.3992919921875
1678490012.0324638,18800000,1649.150634765625
1678490105.7700927,18890000,1658.6461181640625
1678490178.8616893,18960000,1665.888427734375
1678490266.9240746,19050000,1655.3743896484375
1678490298.4962113,19080000,1645.595458984375
1678490369.9392817,19150000,1649.4483642578125
1678490390.2008972,19170000,1659.6796875
1678490431.5005705,19210000,1660.322998046875
1678490533.8095486,19310000,1655.839599609375
1678490545.5396206,19320000,1662.43798828125
1678490576.4731781,19350000,1662.6234130859375
1678490626.1568696,19400000,1656.147216796875
1678490665.580228,19440000,1658.737060546875
1678490802.5382733,19570000,1651.95947265625
