Wall time,Step,Value
1680054003.0256453,2000,1200.749267578125
1680054015.4147444,4000,1200.99853515625
1680054056.523663,12000,1199.9942626953125
1680054210.0031612,40000,1199.2449951171875
1680054353.0097377,66000,1198.9957275390625
1680054398.3139622,74000,1198.9957275390625
1680054471.1913662,88000,1198.9957275390625
1680054483.7454917,90000,1198.9957275390625
1680054491.6799736,92000,1198.9957275390625
1680054514.4135787,96000,1199.7449951171875
1680054526.0081327,98000,1199.24072265625
1680054535.3324952,100000,1199.74365234375
1680054548.0454962,102000,1199.994384765625
1680054570.0365994,106000,1199.994384765625
1680054591.9223766,110000,1199.2451171875
1680054613.7324667,114000,1198.9957275390625
1680054625.572753,116000,1198.2508544921875
1680054647.6119971,120000,1198.0029296875
1680054658.571088,122000,1198.0029296875
1680054704.717697,130000,1198.0029296875
1680054841.7628634,156000,1197.255859375
1680054925.197867,172000,1197.00732421875
1680054957.9373727,178000,1195.764404296875
1680055066.6121223,198000,1195.7816162109375
1680055076.8504713,200000,1196.792236328125
1680055086.352742,202000,1197.04443359375
1680055149.7679293,214000,1197.04443359375
1680083048.433992,232000,1196.0513916015625
1680083083.9790576,238000,1196.8006591796875
1680083169.6730797,252000,1197.797119140625
1680083193.0085988,256000,1197.2899169921875
1680083208.8139617,258000,1196.287109375
1680083260.6406066,266000,1196.037109375
1680083286.8676176,270000,1196.037109375
1680083313.5941987,274000,1196.037109375
1680083338.5597982,278000,1195.287841796875
1680083350.747114,280000,1195.03857421875
1680083399.9392188,288000,1195.03857421875
1680083451.2417471,296000,1195.7921142578125
1680083489.6888125,302000,1197.78955078125
1680083501.8377075,304000,1199.0301513671875
1680083516.7723312,306000,1199.0301513671875
1680083567.2102473,314000,1199.770751953125
1680083579.4419286,316000,1200.753662109375
1680083593.860181,318000,1200.2344970703125
1680083617.8386734,322000,1199.980224609375
1680083631.3120015,324000,1199.980224609375
1680083681.0901895,332000,1200.718994140625
1680083708.7119796,336000,1200.20068359375
1680083785.9127824,348000,1200.69580078125
1680083836.7796786,356000,1200.9451904296875
1680083849.8700686,358000,1200.9451904296875
1680083860.9476078,360000,1200.191650390625
1680083933.5437653,374000,1199.94091796875
1680083964.9183419,380000,1199.05712890625
1680083973.5231407,382000,1198.93115234375
1680083985.1887085,384000,1198.93115234375
1680083994.9047124,386000,1198.6771240234375
1680084005.9311647,388000,1198.6568603515625
1680084027.8751712,392000,1197.66064453125
1680084048.4245033,396000,1196.91796875
1680084068.6550043,400000,1198.1812744140625
1680084090.2028835,404000,1198.9354248046875
1680084099.9142015,406000,1198.9354248046875
1680084111.4918115,408000,1198.9354248046875
1680084120.4993742,410000,1198.056640625
1680084161.2504072,418000,1197.931396484375
1680084202.2769995,426000,1196.935791015625
1680084213.2143528,428000,1196.1783447265625
1680084223.936391,430000,1195.92626953125
1680084263.3177245,438000,1196.8370361328125
1680084275.0920787,440000,1196.919677734375
1680084305.8333075,446000,1196.919677734375
1680084316.5836573,448000,1196.919677734375
1680084336.8900633,452000,1197.67138671875
1680084347.4193337,454000,1197.9215087890625
1680084358.3663487,456000,1198.67724609375
1680084370.2327933,458000,1198.9193115234375
1680084401.4193203,464000,1198.9071044921875
1680084420.6848347,468000,1198.9071044921875
1680084432.901858,470000,1198.9071044921875
1680084450.9400513,474000,1198.9071044921875
1680084494.6808884,482000,1198.153564453125
1680084515.4184566,486000,1197.90283203125
1680084577.3318117,498000,1198.2796630859375
1680084599.1499574,502000,1199.6544189453125
1680084629.7627532,508000,1199.1473388671875
1680084651.0647244,512000,1199.6451416015625
1680084671.7018323,516000,1199.89453125
1680084722.5177455,526000,1199.393798828125
1680084733.563312,528000,1199.397705078125
1680084775.579363,536000,1199.9007568359375
1680084806.2008662,542000,1199.9007568359375
1680084816.7010324,544000,1199.9007568359375
1680084826.834319,546000,1199.9007568359375
1680084836.923911,548000,1199.9007568359375
1680084847.4800892,550000,1199.9007568359375
1680084858.1599035,552000,1199.3966064453125
1680084888.3308122,558000,1199.3946533203125
1680084909.348462,562000,1199.8953857421875
1680084920.1107154,564000,1199.513427734375
